Issuer,Cedent,Risks / Perils covered,Size,Date
Northshore Re II Ltd. (Series 2021-1),AXIS Capital Holdings Ltd. subsidiaries,"U.S. named storms (inc. Puerto Rico & Virgin Islands), U.S. & Canada earthquake, European windstorm",$100m,['Dec 2020']
Phoenician Re Ltd. (Series 2020-1),Alphabet Inc.,California earthquake,$237.5m,['Dec 2020']
Matterhorn Re Ltd. (Series 2020-5),Swiss Re,U.S. named storm,$150m,['Dec 2020']
Power Protective Re Ltd. (Series 2020-1),Los Angeles Department of Water & Power,California wildfire,$50m,['Nov 2020']
2001 CAT Re Ltd. (Series 2020-1),Allied World Assurance Company,"U.S named storm, U.S. & Canada earthquake, U.S. severe thunderstorm, European windstorm",$210m,['Nov 2020']
Four Lakes Re Ltd. (Series 2020-1),American Family Mutual Insurance Co.,"U.S named storm, earthquake, severe thunderstorm, winter storm, volcanic eruption, meteorite impact",$175m,['Nov 2020']
Residential Reinsurance 2020 Limited (Series 2020-2),USAA,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",$400m,['Nov 2020']
Bellemeade Re 2020-3 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$418m,['Nov 2020']
Herbie Re Ltd. (Series 2020-2),Fidelis Insurance,"U.S. named storm, U.S. earthquake",$275m,['Oct 2020']
Oaktown Re V Ltd.,National Mortgage Insurance Corporation,Mortgage insurance risks,$242m,['Oct 2020']
Cerulean Re SAC Ltd. (Series 2020-B),Unknown,Unknown property catastrophe risks,$12.6m,['Oct 2020']
La Vie Re Limited (Series 2020-1),Minnesota Life Insurance Company,Extreme mortality,$100m,['Oct 2020']
Triangle Re 2020-1 Ltd.,Genworth Mortgage Insurance,Mortgage insurance risks,$350m,['Oct 2020']
Eagle Re 2020-2 Ltd.,Radian Guaranty,Mortgage insurance risks,$390.3m,['Oct 2020']
Eclipse Re Ltd. (Series 2020-06A),Unknown,Unknown property catastrophe risks,$20m,['Oct 2020']
Ursa Re II Ltd. (Series 2020-1),California Earthquake Authority,California earthquake,$775m,['Oct 2020']
Artex SAC Limited – Tenby Notes,Unknown,Unknown property catastrophe risks,$30m,['Oct 2020']
Radnor Re 2020-2 Ltd.,Essent Guaranty,Mortgage insurance risks,$399.2m,['Oct 2020']
Isosceles Insurance Ltd. (Series 2020-C1),Unknown,Unknown property catastrophe risks,$25m,['Sep 2020']
ILN SAC Ltd. (US-W-OCC-30B-40B),Unknown,U.S. named storms,$10m,['Sep 2020']
Bellemeade Re 2020-2 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$423m,['Sep 2020']
Oaktown Re IV Ltd.,National Mortgage Insurance Corporation,Mortgage insurance risks,$322m,['Jul 2020']
Eclipse Re Ltd. (Series 2020-04A),Unknown,Unknown property catastrophe risks,$40m,['Jul 2020']
Eclipse Re Ltd. (Series 2020-03A),Unknown,Unknown property catastrophe risks,$16.59m,['Jul 2020']
Hypatia Ltd. (Series 2020-1),Convex Re,"U.S. named storm, U.S. & Canada earthquake",$300m,['Jul 2020']
Azzurro Re II DAC (Series 2020-1),UnipolSai Assicurazioni S.p.A.,European earthquake (covers portfolio in Italy),€100m,['Jul 2020']
Randolph Re (Series 2020-1),Unknown,Unknown property catastrophe risks,$50.25m,['Jul 2020']
SD Re Ltd. (Series 2020-1),Sempra Energy,California wildfire,$90m,['Jul 2020']
Matterhorn Re Ltd. (Series 2020-4),Swiss Re,U.S. named storm,$240m,['Jul 2020']
Bellemeade Re 2020-1 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$450m,['Jun 2020']
Windmill II Re DAC (2020),Achmea Reinsurance Company N.V.,European windstorm,€100m ($113m),['Jun 2020']
Blue Halo Re Ltd. (Series 2020-1),Allianz Risk Transfer,U.S. named storms,$175m,['Jun 2020']
Isosceles Insurance Ltd. (Series 2020-A1),Unknown,Unknown property catastrophe risks,$16.5m,['Jun 2020']
Herbie Re Ltd. (Series 2020-1),Fidelis Insurance,"U.S. named storm, U.S. earthquake",$125m,['Jun 2020']
Casablanca Re Pte. Ltd. (Series 2020-1),Avatar Property and Casualty Insurance Company,Florida named storm,$65m,['Jun 2020']
Alamo Re II Pte. Ltd. (Series 2020-1),Texas Windstorm Insurance Association (TWIA),Texas named storms and severe thunderstorms,$400m,['Jun 2020']
Sanders Re II Ltd. (Series 2020-2),Allstate subsidiaries Castle Key Insurance and Castle Key Indemnity,"Florida named storm, earthquake, severe thunderstorm, volcanic eruption, meteorite impact, wildfire",$200m,['May 2020']
Residential Reinsurance 2020 Limited (Series 2020-1),USAA,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",$100m,['May 2020']
Sutter Re Ltd. (Series 2020-1 & 2020-2),California Earthquake Authority,California earthquake,$700m,['May 2020']
Everglades Re II Ltd. (Series 2020-2),Citizens Property Insurance,Florida named storms,$110m,['May 2020']
MetroCat Re Ltd. (Series 2020-1),First Mutual Transportation Assurance Co. (NYC MTA),New York storm surge (named storm induced) and earthquake,$100m,['May 2020']
Catahoula Re Pte. Ltd. (Series 2020-1),Louisiana Citizens Property Insurance Corporation,Louisiana named storm & severe thunderstorm,$60m,['May 2020']
Matterhorn Re Ltd. (Series 2020-3),Swiss Re,U.S. named storm,$215m,['May 2020']
Atlas Capital Reinsurance 2020 DAC (Series 2020-1),SCOR SE,"U.S. named storm, U.S. & Canada earthquake",$200m,['Apr 2020']
Merna Re II Ltd. (Series 2020-1),State Farm,U.S. earthquake,$250m,['Apr 2020']
Eclipse Re Ltd. (Series 2020-02A),Unknown,Unknown property catastrophe risks,$20m,['Apr 2020']
Operational Re III Ltd.,Zurich Insurance Co. Ltd.,Operational risks,$461.22m,['Apr 2020']
Akibare Re Pte. Ltd. (Series 2020-1),Mitsui Sumitomo Insurance Co. Ltd.,"Japan typhoon, Japan flood",$100m,['Mar 2020']
Integrity Re II Pte. Ltd. (Series 2020-1),"American Integrity Insurance Company of Florida, Inc. via Hannover Rück SE",Florida named storms,$150m,['Mar 2020']
Sanders Re II Ltd. (Series 2020-1),Allstate,"U.S. (ex Florida) named storm, earthquake, severe weather, fire, other perils",$250m,['Mar 2020']
Asagao II – White Rock Insurance (SAC) Ltd.,Unknown,Japan earthquake,$18.3m,['Mar 2020']
IBRD / FONDEN 2020,FONDEN / AGROASEMEX S.A.,"Mexico earthquakes, Mexico named storms",$485m,['Mar 2020']
Armor Re II Ltd. (Series 2020-1),"United Property & Casualty Insurance Co., Family Security Insurance Co., American Coastal Insurance","U.S. named storm, U.S. earthquake",Not issued,['Mar 2020']
Caelus Re VI Ltd. (Series 2020-1 & 2020-2),Nationwide Mutual Insurance Co.,"U.S. named storm, earthquake, severe thunderstorm, winter storm, wildfire, meteorite impact, volcanic eruption, other perils",$490m,['Feb 2020']
FloodSmart Re Ltd. (Series 2020-1),FEMA / NFIP via Hannover Re,U.S. flood risk (from named storms),$400m,['Feb 2020']
Bonanza Re Ltd. (Series 2020-1),American Strategic Insurance Group,"U.S. named storms, severe thunderstorms, winter storms, wildfires, earthquakes",$200m,['Feb 2020']
Nakama Re Ltd. (Series 2020-1),Zenkyoren,Japan earthquake,$200m,['Feb 2020']
Matterhorn Re Ltd. (Series 2020-2),Swiss Re,"U.S. named storm, extreme mortality in Australia, Canada, UK",$255m,['Feb 2020']
Eagle Re 2020-1 Ltd.,Radian Guaranty,Mortgage insurance risks,$488.4m,['Feb 2020']
ILN SAC Ltd. (ILN-TKY-Q-1),Unknown,Turkey earthquake,$7m,['Feb 2020']
Radnor Re 2020-1 Ltd.,Essent Guaranty,Mortgage insurance risks,$496m,['Jan 2020']
Vitality Re XI Ltd. (Series 2020),Aetna,Medical benefit claims levels,$200m,['Jan 2020']
3264 Re Ltd. (Series 2020-1),Hannover Re,"U.S. named storm, U.S. & Canada earthquake, European windstorm",$150m,['Jan 2020']
Stratosphere Re Ltd. (Series 2020-1),Markel Bermuda Limited (covering State National's tail risk from Nephila program),"U.S. named storm, earthquake, winter storm, severe thunderstorm",$100m,['Jan 2020']
Eclipse Re Ltd. (Series 2020-01A),Unknown,Unknown property catastrophe risks,$10m,['Jan 2020']
Mona Lisa Re Ltd. (Series 2020-1),Renaissance Re and DaVinci Re,"U.S., Puerto Rico, U.S. Virgin Islands, D.C. named storm and earthquakes, Canada earthquakes",$400m,['Jan 2020']
Sierra Ltd. (Series 2019-1),"Funds managed by Bayview Asset Management, LLC",U.S. earthquake,$225m,['Jan 2020']
Matterhorn Re Ltd. (Series 2020-1),Swiss Re,U.S. named storm,$350m,['Jan 2020']
Seaside Re (Series 2020-11),Unknown,U.S. property catastrophe risks,$3.75m,['Jan 2020']
Seaside Re (Series 2020-12),Unknown,U.S. property catastrophe risks,$5.75m,['Jan 2020']
Seaside Re (Series 2020-21),Unknown,U.S. property catastrophe risks,$10m,['Jan 2020']
Seaside Re (Series 2020-22),Unknown,U.S. property catastrophe risks,$5m,['Jan 2020']
Seaside Re (Series 2020-31),Unknown,U.S. property catastrophe risks,$30m,['Jan 2020']
Seaside Re (Series 2020-41),Unknown,U.S. property catastrophe risks,$7.5m,['Jan 2020']
Seaside Re (Series 2020-42),Unknown,U.S. property catastrophe risks,$12.5m,['Jan 2020']
Artex SAC Limited – Series IX Notes,Unknown,Unknown property catastrophe risks,$50.26m,['Dec 2019']
Seaside Re (Series 2020-2),Unknown,U.S. property catastrophe risks,$20m,['Dec 2019']
Seaside Re (Series 2020-1),Unknown,U.S. property catastrophe risks,$7m,['Dec 2019']
Seaside Re (Series 2020-51),Unknown,U.S. property catastrophe risks,$50m,['Dec 2019']
LI Re (Series 2019-1),Unknown,California earthquake,$10m,['Dec 2019']
Kilimanjaro III Re Ltd. (Series 2019-1),Everest Re,"U.S., Puerto Rico, U.S. Virgin Islands, D.C., Canada named storm and earthquake",$425m,['Dec 2019']
Kilimanjaro III Re Ltd. (Series 2019-2),Everest Re,"U.S., Puerto Rico, U.S. Virgin Islands, D.C., Canada named storm and earthquake",$425m,['Dec 2019']
Galileo Re Ltd. (Series 2019-1),XL Bermuda Ltd.,"U.S., Puerto Rico, Virgin Islands named storm, U.S. earthquake, Canada earthquake, U.S. severe thunderstorm, European windstorm, Australian tropical cyclone, Australian earthquake",$475m,['Dec 2019']
Ursa Re Ltd. (Series 2019-1),California Earthquake Authority,California earthquake,$400m,['Nov 2019']
Triangle Re 2019-1 Ltd.,Genworth Mortgage Insurance,Mortgage insurance risks,$302.8m,['Nov 2019']
Residential Reinsurance 2019 Limited (Series 2019-2),USAA,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",$160m,['Nov 2019']
IBRD CAR 123-124,Republic of the Philippines,Philippine earthquakes & tropical cyclones,$225m,['Nov 2019']
Hexagon II Reinsurance DAC (Series 2019-1),Covéa Group,France windstorms & natural perils,€120m,['Nov 2019']
Eclipse Re Ltd. (Series 2019-07A),Unknown,Unknown property catastrophe risks,$20m,['Oct 2019']
Bellemeade Re 2019-4 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$577.27m,['Oct 2019']
ILN SAC Ltd. Series 2019-1,Unknown,Unknown property catastrophe risks,$10m,['Oct 2019']
Cerulean Re SAC Ltd. (Series 2019-E1),Unknown,Unknown property catastrophe risks,$25m,['Sep 2019']
Eclipse Re Ltd. (Series 2019-06A),Unknown,Unknown property catastrophe risks,$48m,['Sep 2019']
Asagao – White Rock Insurance (SAC) Ltd.,Unknown,Japan earthquake,$70m,['Sep 2019']
Eclipse Re Ltd. (Series 2019-02A),Unknown,Unknown property catastrophe risks,$56.59m,['Aug 2019']
Eclipse Re Ltd. (Series 2019-04A),Florida Citizens,Florida named storms,$25m,['Jul 2019']
Oaktown Re III Ltd.,National Mortgage Insurance Corporation,Mortgage insurance risks,$327m,['Jul 2019']
Eclipse Re Ltd. (Series 2019-05A),Unknown,Unknown property catastrophe risks,$100m,['Jul 2019']
Bellemeade Re 2019-3 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$700.92m,['Jul 2019']
Dodeka XXIV,Unknown,U.S. property catastrophe risks,$11.36m,['Jul 2019']
Cerulean Re SAC Ltd. (Series 2019-1),Unknown,U.S. property catastrophe risks,$22.94m,['Jul 2019']
Eclipse Re Ltd. (Series 2019-03A),Unknown,Unknown property catastrophe risks,$30m,['Jul 2019']
Northshore Re II Ltd. (Series 2019-1),AXIS Capital Holdings Ltd. subsidiaries,"U.S. named storms (inc. Puerto Rico & Virgin Islands), U.S. & Canada earthquake, European windstorm",$165m,['Jun 2019']
Radnor Re 2019-2 Ltd.,Essent Guaranty,Mortgage insurance risks,$333.84m,['Jun 2019']
Cerulean Re SAC Ltd. (Easton 2019-1),Hamilton Re,"U.S. named storm, U.S. earthquake",$60m,['Jun 2019']
Cape Lookout Re Ltd. (Series 2019-2),North Carolina Insurance Underwriting Association,North Carolina named storm & severe thunderstorm,$100m,['Jun 2019']
Matterhorn Re Ltd. (Series 2019-1),Swiss Re,Northeast U.S. named storm,$250m,['Jun 2019']
Dodeka XXIII,Unknown,U.S. property catastrophe risks,$9.33m,['Jun 2019']
Atlas Capital UK 2019 PLC (Series 2019-1),SCOR Global P&C SE,"U.S. named storm, U.S. and Canada earthquake, European windstorm",$250m,['May 2019']
Home Re 2019-1 Ltd.,MGIC Investment Corporation,Mortgage insurance risks,$315.74m,['May 2019']
Integrity Re Ltd. (Series 2019-1),"American Integrity Insurance Company of Florida, Inc. via Hannover Rück SE",Florida named storms & severe thunderstorms,$50m,['May 2019']
Alamo Re Ltd. (Series 2019-1),Texas Windstorm Insurance Association (TWIA) / Hannover Rück SE,Texas named storms and severe thunderstorms,$200m,['May 2019']
Manatee Re III Pte. Ltd. (Series 2019-1),Safepoint Insurance Company,"U.S. named storm, U.S. severe thunderstorm (Florida, Louisiana, New Jersey & Texas initially)",$40m,['May 2019']
Residential Reinsurance 2019 Limited (Series 2019-1),USAA,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",$135m,['May 2019']
First Coast Re II Pte. Ltd. (Series 2019-1),Security First Insurance Company,"Florida named storm, severe thunderstorm",$100m,['May 2019']
Armor Re II Ltd. (Series 2019-1),"United Property & Casualty Insurance Co., Family Security Insurance Co., Interboro Insurance Co., American Coastal Insurance","U.S. named storm, U.S. earthquake",$100m,['May 2019']
Bellemeade Re 2019-2 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$621m,['Apr 2019']
Eclipse Re Ltd. (Series 2019-01A),Unknown,Unknown property catastrophe risks,$20m,['Apr 2019']
FloodSmart Re Ltd. (Series 2019-1),FEMA / NFIP via Hannover Re,U.S. flood risk (from named storms),$300m,['Apr 2019']
Eagle Re 2019-1 Ltd.,Radian Guaranty,Mortgage insurance risks,$562m,['Apr 2019']
Merna Re II Ltd. (Series 2019-1),State Farm,U.S. earthquake,$300m,['Mar 2019']
Sanders Re II Ltd. (Series 2019-1),Allstate,"U.S. (ex Florida) named storm, earthquake, severe weather, fire, other perils",$300m,['Mar 2019']
Bellemeade Re 2019-1 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$341.79m,['Mar 2019']
Bowline Re Ltd. (Series 2019-1),Transatlantic Reinsurance Co.,"U.S., Puerto Rico, U.S. Virgin Islands, D.C., Canada named storm, earthquake and severe thunderstorm",$250m,['Mar 2019']
Dodeka XXI,Unknown,Unknown property catastrophe risks,$17.96m,['Mar 2019']
Dodeka XXII,Unknown,U.S. property catastrophe risks,$18.67m,['Mar 2019']
Radnor Re 2019-1 Ltd.,Essent Guaranty,Mortgage insurance risks,$473.18,['Feb 2019']
Orchard ILS Pte Ltd,Insurance Australia Group (IAG),Australia and New Zealand catastrophe risks,$54,['Feb 2019']
Cape Lookout Re Ltd. (Series 2019-1),North Carolina Insurance Underwriting Association,North Carolina named storm & severe thunderstorm,$450m,['Feb 2019']
Atmos Re DAC,UnipolSai Assicurazioni S.p.A.,"Atmospheric perils, snow pressure, flood",€45m,['Feb 2019']
Baltic PCC Limited (Series 2019),Pool Re,Terrorism risk,$97m,['Feb 2019']
Jungfrau IC Limited 2019,Unknown,Property catastrophe risks,$12m,['Jan 2019']
Alpha Terra Validus III,Terra Brasis Re,Latin American property catastrophe risks,$5m,['Jan 2019']
Dodeka XX,Unknown,U.S. property catastrophe risks,$23.936m,['Jan 2019']
Dodeka XIX,Unknown,U.S. property catastrophe risks,$27.609m,['Jan 2019']
Dodeka XVIII,Unknown,U.S. property catastrophe risks,$25.181m,['Jan 2019']
Vitality Re X Ltd. (Series 2019),Aetna,Medical benefit claims levels,$200m,['Jan 2019']
Seaside Re (Series 2019-22),Unknown,U.S. property catastrophe risks,$10m,['Jan 2019']
Seaside Re (Series 2019-21),Unknown,U.S. property catastrophe risks,$30m,['Jan 2019']
Resilience Re Ltd. (Series 1912A),Unknown,Property catastrophe risks,$88m,['Jan 2019']
Newport 2019-1,AmWINS Specialty Auto,Motor third-party liability,$10m,['Dec 2018']
LI Re (Series 2018-1),Unknown,California earthquake,$10m,['Dec 2018']
Artex SAC Limited – Series HX Notes,Unknown,Unknown property catastrophe risks,$50.22m,['Dec 2018']
Seaside Re (Series 2019-42),Unknown,U.S. property catastrophe risks,$25m,['Dec 2018']
Seaside Re (Series 2019-41),Unknown,U.S. property catastrophe risks,$10m,['Dec 2018']
Seaside Re (Series 2019-31),Unknown,U.S. property catastrophe risks,$30m,['Dec 2018']
Seaside Re (Series 2019-12),Unknown,U.S. property catastrophe risks,$10m,['Dec 2018']
Seaside Re (Series 2019-11),Unknown,U.S. property catastrophe risks,$10m,['Dec 2018']
Seaside Re (Series 2019-2),Unknown,U.S. property catastrophe risks,$20m,['Dec 2018']
Seaside Re (Series 2019-1),Unknown,U.S. property catastrophe risks,$7m,['Dec 2018']
Golden State Re II Ltd. (Series 2018-1),California State Compensation Insurance Fund,Workers compensation claims resulting from California earthquakes,$210m,['Nov 2018']
Residential Reinsurance 2018 Limited (Series 2018-2),USAA,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",$200m,['Nov 2018']
Eagle Re 2018-1 Ltd.,Radian Guaranty,Mortgage insurance risks,$434m,['Nov 2018']
Home Re 2018-1 Ltd.,MGIC Investment Corporation,Mortgage insurance risks,$318.6m,['Oct 2018']
Bellemeade Re 2018-3 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$506.11m,['Oct 2018']
SD Re Ltd. (Series 2018-1),Sempra Energy,California wildfire,$125m,['Oct 2018']
Ursa Re Ltd. (Series 2018-1),California Earthquake Authority,California earthquake,$250m,['Sep 2018']
Bellemeade Re 2018-2 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$653.3m,['Aug 2018']
Dodeka XVII,Unknown,U.S. property catastrophe risks,$18.322m,['Aug 2018']
Cal Phoenix Re Ltd. (Series 2018-1),PG&E Corporation,California wildfire,$200m,['Aug 2018']
FloodSmart Re Ltd. (Series 2018-1),FEMA / NFIP via Hannover Re,U.S. flood risk (from named storms),$500m,['Jul 2018']
Oaktown Re II Ltd.,National Mortgage Insurance Corporation,Mortgage insurance risk,$264.55m,['Jul 2018']
Acorn Re Ltd. (Series 2018-1),"Hannover Rück SE / Oak Tree Assurance, Ltd.",U.S. earthquake,$400m,['Jul 2018']
Dodeka XVI,Unknown,U.S. property catastrophe risks,$9.603m,['Jul 2018']
Northshore Re II Ltd. (Series 2018-1),AXIS Capital Holdings Ltd. subsidiaries,"U.S. & Puerto Rico named storms, U.S. & Canada earthquake, European windstorm",$200m,['Jul 2018']
Oak Leaf Re Ltd. (Series 2018-1),Southern Oak Insurance Company,Florida named storms,$45.26m,['Jun 2018']
Dom Re IC Limited 2018,Unknown,U.S. wind,$15m,['Jun 2018']
