Issuer,Cedent,Risks / Perils covered,Size,Date
Dodeka VI,Unknown,U.S. property catastrophe risks,$19.078m,['Jun 2015']
Market Re Ltd. (Series 2015-3),Unknown,Florida named storms,$31.074m,['Jun 2015']
Oak Leaf Re Ltd. (Series 2015-1),Southern Oak Insurance Company,Florida named storms,$53.03m,['Jun 2015']
Compass Re II Ltd. (Series 2015-1),AIG,U.S. wind,$300m,['Jun 2015']
Dodeka V,Unknown,U.S. property catastrophe risks,$18.88m,['May 2015']
Residential Reinsurance 2015 Ltd. (Series 2015-1),USAA,"U.S. tropical cyclones, earthquakes, severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact",$150m,['May 2015']
Market Re Ltd. (Series 2015-1),Unknown,Florida named storms,$10m,['May 2015']
Long Point Re III Ltd. (Series 2015-1),Travelers,"U.S. tropical cyclone, earthquake, severe thunderstorm, winter storm (Northeastern U.S. states only)",$300m,['May 2015']
Everglades Re II Ltd. (Series 2015-1),Citizens Property Insurance,Florida named storms,$300m,['May 2015']
Alamo Re Ltd. (Series 2015-1),"Hannover Rück SE, on behalf of reinsured Texas Windstorm Insurance Association (TWIA)",Texas named storms,$700m,['May 2015']
LI Re (Series 2015-1),Unknown,Property catastrophe risks,$3.75m,['Apr 2015']
Benu Capital Limited,AXA Global Life,"Excess mortality (France, Japan, U.S.)",$305m,['Apr 2015']
Cranberry Re Ltd. (Series 2015-1),Massachusetts Property Insurance Underwriting Association / Hannover Ruck SE,"Massachusetts named storm, severe thunderstorm & winter storm",$300m,['Apr 2015']
Pelican III Re Ltd. (Series 2015-1),Louisiana Citizens Property Insurance Corporation,Louisiana named storm,$100m,['Apr 2015']
Citrus Re Ltd. (Series 2015-1),Heritage Property and Casualty Insurance Co.,U.S. named storms (Florida only initially),$277.5m,['Apr 2015']
Sanders Re Ltd. (Series 2015-1),Allstate,"U.S. named storms (excluding Florida), U.S. earthquake (CA, NY, SC, WA), volcanic eruption (excluding Florida), meteorite impact (excluding Florida)",Not issued,['Apr 2015']
Queen Street X Re Limited (2015),Munich Re,"U.S. hurricane, Australia cyclone",$100m,['Mar 2015']
Manatee Re Ltd. (Series 2015-1),Safepoint Insurance Company,U.S. named storm (Florida initially),$100m,['Mar 2015']
Kizuna Re II Ltd. (Series 2015-1),Tokio Marine & Nichido Fire Insurance Co. Ltd.,Japan earthquake,$290m,['Mar 2015']
Merna Re Ltd. (Series 2015-1),State Farm,U.S. earthquake (New Madrid region),$300m,['Mar 2015']
East Lane Re VI Ltd. (Series 2015-1),Chubb,"U.S. named storms, earthquakes, severe thunderstorms, winter storms, wildfires, volcanic eruption, meteorite impact",$250m,['Mar 2015']
Kane SAC Limited (Series 2015-1),Unknown,Unknown,$50.2m,['Feb 2015']
Dodeka I – 2015,Unknown,U.S. property catastrophe risks,$20.695m,['Feb 2015']
Atlas IX Capital Limited (Series 2015-1),SCOR Global P&C SE,"U.S. named storm, U.S. and Canada earthquake",$150m,['Feb 2015']
Galileo Re Ltd. (Series 2015-1),Catlin,"U.S. named storms, U.S. earthquake, Canada earthquake, European windstorm",$300m,['Feb 2015']
Kane SAC Limited – Exeter,Unknown,U.S. property catastrophe risks,$54.81m,['Jan 2015']
Kane SAC Limited – Troon,Unknown,U.S. property catastrophe risks,$27.53m,['Jan 2015']
Kane SAC Limited – Muirfield,Unknown,U.S. property catastrophe risks,$26.68m,['Jan 2015']
Kane SAC Limited – Hereford,Unknown,U.S. property catastrophe risks,$16.82m,['Jan 2015']
Valins I Limited,Aurigen Reinsurance,Embedded value securitization of life insurance mortality and lapse risk,$175m,['Jan 2015']
Vitality Re VI Ltd. (Series 2015-1),Aetna,Medical benefit claims levels,$200m,['Jan 2015']
LI Re (Series 2014-2),Unknown,Property catastrophe risk,$5m,['Dec 2014']
Leine Re,Gebäudeversicherung Bern (GVB),Swiss property catastrophe risks,$71m,['Dec 2014']
Nakama Re Ltd. (Series 2014-2),Zenkyoren,Japan earthquake,$375m,['Dec 2014']
Tradewynd Re Ltd. (Series 2014-1),AIG,"U.S., Canada, Mexico, Caribbean, Gulf of Mexico, D.C. named storms. U.S., Canada, Mexico, Caribbean, D.C. earthquakes",$500m,['Dec 2014']
Chesterfield Financial Holdings LLC (Series 2014-1),Reinsurance Group of America,Embedded value securitization of life insurance mortality and lapse risk,$300m,['Dec 2014']
Tramline Re II Ltd. (Series 2014-1),Amlin AG,"U.S. named storm, U.S. earthquake, European windstorm",$200m,['Dec 2014']
Residential Reinsurance 2014 Ltd. (Series 2014-2),USAA,"U.S. tropical storms, earthquakes, severe thunderstorms, winter storms, wildfire, meteorite impact, volcanic eruption",$100m,['Dec 2014']
Ursa Re Ltd. (Series 2014-1),California Earthquake Authority,California earthquake,$400m,['Dec 2014']
Kilimanjaro Re Ltd. (Series 2014-2),Everest Re,U.S and Canada earthquake,$500m,['Nov 2014']
LI Re (Series 2014-1),Unknown,Property catastrophe risks,$10.37m,['Oct 2014']
Golden State Re II Ltd. (Series 2014-1),California State Compensation Insurance Fund,Workers compensation claims resulting from California earthquakes,$250m,['Sep 2014']
Dodeka III,Unknown,U.S. multi-peril,$10m,['Aug 2014']
Hoplon II Insurance Ltd.,MyLotto24,Lottery jackpot risk,$67m,['Aug 2014']
Market Re Ltd. (Series 2014-4),Unknown,U.S. earthquake,$30m,['Jul 2014']
Kane SAC Limited (Series 2014-2),Unknown,U.S. hurricane,$7.32m,['Jul 2014']
World Bank – CCRIF 2014-1,Caribbean Catastrophe Risk Insurance Facility (CCRIF),Caribbean hurricane and earthquake,$30m,['Jun 2014']
Market Re Ltd. (Series 2014-2),Unknown,Florida named storms,$31.825m,['Jun 2014']
Queen Street X Re Ltd.,Munich Re,"U.S. hurricane, Australia cyclone",Not issued,['Jun 2014']
Oak Leaf Re Ltd. (Series 2014-1),Southern Oak Insurance Company,Florida named storms,$44.035m,['Jun 2014']
Alamo Re Ltd. (Series 2014-1),"Hannover Rück SE, on behalf of reinsured Texas Windstorm Insurance Association (TWIA)",Texas named storms,$400m,['Jun 2014']
Dodeka IV,Unknown,Florida and Gulf Coast wind,$28m,['Jun 2014']
Residential Reinsurance 2014 Ltd. (Series 2014-1),USAA,"U.S. tropical cyclones, earthquakes, severe thunderstorms, winter storms, wildfire, meteorite impact, volcanic eruption",$130m,['May 2014']
Sanders Re Ltd. (Series 2014-2),Allstate subsidiaries Castle Key Insurance and Castle Key Indemnity,"Florida named storms, earthquakes, severe thunderstorms",$200m,['May 2014']
Nakama Re Ltd. (Series 2014-1),Zenkyoren,Japan earthquake,$300m,['May 2014']
Aozora Re Ltd. (Series 2014-1),Sompo Japan and Nipponkoa Insurance Company,Japan typhoon,$100m (JPY10.125B),['May 2014']
Market Re Ltd. (Series 2014-1),Unknown,Florida named storms,$10m,['May 2014']
Sanders Re Ltd. (Series 2014-1),Allstate,"U.S. named storms (excluding Florida), U.S. earthquake (CA, NY, WA)",$750m,['May 2014']
Armor Re Ltd. (Series 2014-1),American Coastal Insurance Company,U.S. named storms (Florida only initially),$200m,['May 2014']
Everglades Re Ltd. (Series 2014-1),Citizens Property Insurance,Florida hurricanes,$1.5bn,['May 2014']
Citrus Re Ltd. (Series 2014-2),Heritage Property and Casualty Insurance Co.,U.S. named storms (Florida only initially),$50m,['Apr 2014']
Kilimanjaro Re Ltd. (Series 2014-1),Everest Reinsurance Company,"U.S. named storms, U.S. earthquakes",$450m,['Apr 2014']
Lion I Re Ltd.,Assicurazioni Generali S.p.A.,European windstorm,€190m ($262m),['Apr 2014']
Citrus Re Ltd. (Series 2014-1),Heritage Property and Casualty Insurance Co.,U.S. named storms (Florida only initially),$150m,['Apr 2014']
Riverfront Re Ltd. (Series 2014-1),Great American Insurance Group,"U.S. and Canada named storms, earthquakes, severe thunderstorms and winter storms",$95m,['Mar 2014']
Merna Re V Ltd.,State Farm,U.S. earthquake (New Madrid region),$300m,['Mar 2014']
East Lane Re VI Ltd. (Series 2014-1),Chubb,"U.S. named storms, earthquakes, severe thunderstorms and winter storms",$270m,['Mar 2014']
Gator Re Ltd.,American Strategic Insurance Group,U.S. named storms and severe thunderstorm,$200m,['Mar 2014']
Kizuna Re II Ltd.,Tokio Marine & Nichido Fire Insurance Co. Ltd.,Japan earthquake,$245m,['Mar 2014']
Dodeka II,Unknown,U.S. named storm and U.S. earthquake,$25m,['Feb 2014']
Queen Street IX Re Ltd.,Munich Re,"U.S. hurricane, Australia cyclone",$100m,['Feb 2014']
Skyline Re Ltd. (Series 2014-1),The Cincinnati Insurance Company,U.S. earthquake and severe thunderstorms,$100m,['Jan 2014']
Omamori,Tokio Millennium Re AG,Second event U.S. earthquakes and named storms,$25m,['Jan 2014']
Dodeka I,Unknown,U.S. multiple perils,$25m,['Jan 2014']
Vitality Re V Ltd. (Series 2014-1),Aetna,Medical benefit claims levels,$200m,['Jan 2014']
Kane SAC Limited (Series 2014-1),Unknown,U.S. earthquake,$50.12m,['Jan 2014']
Windmill I Re Ltd. (Series 2013-1),Achmea Reinsurance Company N.V.,European windstorm,€40m ($55m),['Dec 2013']
Queen City Re Ltd. (Series 2013-1),"American Modern Insurance Group, Inc.",U.S. named storms,$75m,['Dec 2013']
VenTerra Re Ltd. (Series 2013-1),QBE Insurance Group Ltd. subsidiaries,"U.S. earthquake, Australia cyclone, Australia earthquake",$250m,['Dec 2013']
Loma Reinsurance (Bermuda) Ltd. (Series 2013-1),Argo Group,"U.S tropical cyclones, U.S earthquake, U.S. severe thunderstorm",$172m,['Dec 2013']
Tradewynd Re Ltd. (Series 2013-2),AIG,"U.S., Caribbean, Gulf of Mexico named storms. U.S., Canada earthquake",$400m,['Dec 2013']
Residential Reinsurance 2013 Ltd. (Series 2013-2),USAA,"U.S. tropical storms, U.S. earthquakes, severe thunderstorms, winter storms and wildfires in California",$150m,['Dec 2013']
Galileo Re Ltd. (Series 2013-1),Catlin,"U.S. named storms, U.S. earthquake, Canada earthquake, European windstorm",$300m,['Oct 2013']
Calypso Capital II Ltd. (Series 2013-1),AXA Global P&C,European windstorm,$474m,['Oct 2013']
Atlas IX Capital Limited (Series 2013-1),SCOR Global Life SE,Extreme mortality,$180m,['Sep 2013']
Nakama Re Ltd. (Series 2013-1),Zenkyoren,Japan earthquake,$300m,['Sep 2013']
Kane SAC Limited (Series 2013-1),Unknown,Texas hurricane,$9.524m,['Aug 2013']
Northshore Re Limited (Series 2013-1),AXIS Capital Holdings Ltd. subsidiaries,"U.S. hurricane, U.S. earthquake",$200m,['Aug 2013']
MetroCat Re Ltd. (Series 2013-1),First Mutual Transportation Assurance Co.,Storm surge (named storm induced),$200m,['Jul 2013']
Sullivan Re Ltd. (Series 2013-1),New Jersey Manufacturers Insurance Group,U.S. named storms,$60m,['Jul 2013']
Mona Lisa Re Ltd. (Series 2013-2),Renaissance Re and DaVinci Re,U.S. and Puerto Rico named storms. U.S. earthquakes,$150m,['Jul 2013']
Mythen Re Ltd. (Series 2013-1),Swiss Re,U.S. hurricane,$100m,['Jul 2013']
Tradewynd Re Ltd. (Series 2013-1),AIG,"U.S., Caribbean, Gulf of Mexico named storms. U.S., D.C., Canada earthquake",$125m,['Jul 2013']
Green Fields II Capital Ltd. (Series 2013-1),Groupama,European windstorm (France only),$365m,['Jul 2013']
Ibis Re II Ltd. (Series 2013-1),Assurant,U.S. hurricane,$185m,['Jun 2013']
Queen Street VIII Re Ltd.,Munich Re,"U.S. hurricane, Australia cyclone",$75m,['Jun 2013']
Tramline Re II Ltd. (Series 2013-1),Amlin AG,"U.S earthquake, Canada earthquake",$75m,['Jun 2013']
Oak Leaf Re Ltd. (Series 2013-1),Southern Oak Insurance Company,Florida hurricanes,$30.49m,['Jun 2013']
Residential Reinsurance 2013 Ltd. (Series 2013-1),USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm and California wildfire",$300m,[' May 2013']
Blue Danube II Ltd. (Series 2013-1),Allianz Argos 14 GmbH,"U.S., Caribbean, Central American, Mexican hurricane. U.S., Canadian earthquake",$175m,['May 2013']
Sunshine Re Ltd. (Series 2013-1),Florida Municipal Insurance Trust,Florida hurricanes,$20m,['May 2013']
Long Point Re III Ltd. (Series 2013-1),Travelers,U.S. hurricane (Northeastern U.S. states only),$300m,['May 2013']
Armor Re Ltd. (Series 2013-1),American Coastal Insurance Company,Florida hurricanes,$183m,['May 2013']
Pelican Re Ltd. (Series 2013-1),Louisiana Citizens Property Insurance Corporation,Louisiana hurricane,$140m,['May 2013']
Sanders Re Ltd. (Series 2013-1),Allstate,"U.S. hurricane, U.S. earthquake",$350m,['May 2013']
Bosphorus 1 Re Ltd.,Turkish Catastrophe Insurance Pool,Turkey earthquake,$400m,['Apr 2013']
Tar Heel Re Ltd. (Series 2013-1),North Carolina JUA / IUA,North Carolina hurricane,$500m,['Apr 2013']
Caelus Re 2013 Ltd. (Series 2013-2),Nationwide Mutual Insurance Co.,"U.S. hurricane, U.S. earthquake",$320m,['Apr 2013']
Merna Re IV Ltd. (Series 2013-1),State Farm,U.S. earthquake (New Madrid region),$300m,['Apr 2013']
Everglades Re Ltd. (Series 2013-1),Citizens Property Insurance,Florida hurricanes,$250m,['Mar 2013']
Caelus Re 2013 Ltd. (Series 2013-1),Nationwide Mutual Insurance Co.,"U.S. hurricane, U.S. earthquake",$270m,['Mar 2013']
Vitality Re IV Ltd. (Series 2013-1),Aetna Life Insurance Company,Medical benefit claims levels,$150m,['Jan 2013']
Skyline Re Ltd. (Series 2013-1),The Cincinnati Insurance Company,New Madrid earthquake and severe thunderstorms,$61.2m,['Jan 2013']
Compass Re Ltd. (Series 2012-1),National Union Fire Insurance Co. of Pittsburgh,"U.S. hurricane, U.S. earthquake",$400m,['Dec 2012']
Lakeside Re III Ltd.,Zurich American Insurance & Zurich Insurance Co. Ltd.,U.S. and Canadian earthquake,$270m,['Dec 2012']
Residential Reinsurance 2012 Ltd. (Series 2012-2),USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm and California wildfire",$400m,['Nov 2012']
Queen Street VII Re Ltd.,Munich Re,"U.S. hurricane, European windstorm",$75m,['Nov 2012']
Atlas Reinsurance VII Limited,SCOR,"U.S. hurricane, U.S. earthquake, European windstorm",$228m,['Nov 2012']
Mythen Re Ltd. (Series 2012-2),Swiss Re,"U.S. hurricane, UK extreme mortality",$200m,['Nov 2012']
MultiCat Mexico Ltd. (Series 2012-1),Swiss Re,"Mexico hurricane, Mexico earthquake",$315m,['Oct 2012']
Eurus III Ltd.,Hannover Re,European windstorm,$126m,['Sep 2012']
Embarcadero Re Ltd. (Series 2012-2),California Earthquake Authority,California earthquake,$300m,['Jul 2012']
Vita Capital V Ltd.,Swiss Re,Extreme mortality,$275m,['Jul 2012']
Queen Street VI Re Ltd.,Munich Re,"U.S hurricane, European windstorm",$100m,['Jul 2012']
Oak Leaf Re Ltd. (Series 2012-1),Southern Oak Insurance Company,U.S. hurricane,$22.78m,['Jun 2012']
Long Point Re III Ltd. (Series 2012-1),Travelers,U.S. hurricane (Northeastern U.S. states only),$250m,['Jun 2012']
Residential Reinsurance 2012 Ltd. (Series 2012-1),USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$200m,"['May 2012', ' ']"
Mythen Ltd. (Series 2012-1),Swiss Re,"First and second event U.S. hurricane, European windstorm",$400m,['May 2012']
Everglades Re Ltd. (Series 2012-1),Citizens Property Insurance,Florida hurricanes,$750m,['Apr 2012']
Pelican Re Ltd. (Series 2012-1),Louisiana Citizens Property Insurance Corporation,Louisiana hurricane,$125m,['Apr 2012']
Akibare II Ltd.,Mitsui Sumitomo Insurance Co. Ltd.,Japan typhoon (wind & flood losses),$130m,['Apr 2012']
Blue Danube Ltd. (Series 2012-1),Allianz Argos 14 GmbH,"U.S. hurricane, U.S. earthquake, Canada earthquake, Caribbean hurricane, Mexico hurricane",$240m,['Apr 2012']
Combine Re Ltd. (Series 2012-1),Swiss Re America,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm",$200m,['Mar 2012']
East Lane Re V Ltd. (Series 2012-1),Chubb Group,"U.S. hurricane, U.S. severe thunderstorm",$150m,['Mar 2012']
Mystic Re III Ltd. (Series 2012-1),Liberty Mutual,"U.S. hurricane, U.S. earthquake",$275m,['Mar 2012']
Queen Street V Re Ltd.,Munich Re,"U.S. hurricane, European windstorm",$75m,['Feb 2012']
Embarcadero Re Ltd. (Series 2012-1),California Earthquake Authority,California earthquake,$150m,['Jan 2012']
Kibou Ltd. (Series 2012-1),Hannover Re for Zenkyoren,Japan earthquake,$300m,['Jan 2012']
Ibis Re II Ltd. (Series 2012-1),Assurant,U.S. hurricane,$130m,['Jan 2012']
Successor X Ltd. (Series 2012-1),Swiss Re,"U.S. hurricane, European windstorm",$63m,['Jan 2012']
Vitality Re III Ltd. (Series 2012-1),Aetna Life Insurance Company,Medical benefit claims levels,$150m,['Jan 2012']
Loma Reinsurance Ltd. (Series 2011-2),Argo Re,"U.S. hurricane, U.S. earthquake",$100m,['Dec 2011']
Vecta I Ltd.,Aurigen Reinsurance,Embedded value securitization of life insurance mortality and lapse risk,$111m,['Dec 2011']
Tramline Re Ltd. (Series 2011-1),Amlin AG,"U.S. hurricane, U.S. earthquake, European windstorm",$150m,['Dec 2011']
Atlas VI Capital Ltd. (Series 2011-1),SCOR,"U.S. hurricane, U.S. earthquake, European windstorm",$337m,['Dec 2011']
Golden State Re Ltd. (Series 2011-1),California State Compensation Insurance Fund,Workers compensation claims resulting from California earthquakes,$200m,['Dec 2011']
Residential Reinsurance 2011 Ltd. (Series 2011-2),USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$150m,['Nov 2011']
Compass Re Ltd. (Series 2011-1),National Union Fire Insurance Co. of Pittsburgh,"U.S. hurricane, U.S. earthquake",$575m,['Nov 2011']
Successor X Ltd. (Series 2011-3),Swiss Re,"U.S. hurricane, European windstorm",$130m,['Nov 2011']
Queen Street IV Capital Ltd.,Munich Re,"U.S hurricane, European windstorm",$100m,['Oct 2011']
Calypso Capital Ltd. (Series 2011-1),AXA Global P&C,European windstorm,$243m,['Oct 2011']
Hoplon Insurance Ltd.,MyLotto24,Lottery jackpot risk,$101m,['Sep 2011']
Kizuna Re Ltd.,Tokio Marine,Japan typhoon,$160m,['Aug 2011']
Pylon II Capital Ltd.,EDF (via Natixis),European windstorm,$216m,['Aug 2011']
Embarcadero Re Ltd. (Series 2011-1),California Earthquake Authority,California earthquake,$150m,['Aug 2011']
Vita Capital IV Ltd. (Series V and VI),Swiss Re,Extreme mortality,$180m,['Jul 2011']
Queen Street III Capital Ltd.,Munich Re,European windstorm,$150m,['Jul 2011']
Oak Leaf Re Ltd. (Series 2011-1),Southern Oak Insurance Company,U.S. hurricane,$11.95m,['Jul 2011']
"Sector Re V Ltd. (Series 1, Class B)",Swiss Re,"U.S. hurricane, U.S. earthquake, Australia earthquake, Australia tropical cyclone, European windstorm, Japanese earthquake",$70m,['Jun 2011']
Loma Reinsurance Ltd. (Series 2011-1),Argo Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan earthquake",$100m,['Jun 2011']
Residential Reinsurance 2011 Ltd. (Series 2011-1),USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$250m,['May 2011']
Johnston Re Ltd. (Series 2011-1),North Carolina JUA / IUA,North Carolina hurricane,$202m,['May 2011']
Blue Fin Ltd. (Series 4),Allianz,"U.S. hurricane, U.S. earthquake",$40m,['Apr 2011']
Vitality Re II Ltd.,Aetna Life Insurance Company,Medical benefit claims levels,$150m,['Apr 2011']
"Sector Re V Ltd. (Series 1, Class A)",Swiss Re,"U.S. hurricane, U.S. earthquake, Australia earthquake, Australia tropical cyclone, European windstorm, Japanese earthquake,",$95m,['Mar 2011']
Queen Street II Capital Ltd.,Munich Re,"U.S. hurricane, European windstorm",$100m,['Mar 2011']
East Lane Re IV Ltd. (Series 2011-1),Chubb Group,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm",$475m,['Mar 2011']
Successor X Ltd. (Series 2011-2),Swiss Re,"U.S. hurricane, U.S. earthquake",$305m,['Feb 2011']
Foundation Re III Ltd. (Series 2011-1),Hartford Fire Insurance Co.,U.S. hurricane,$135m,['Feb 2011']
